tagID,tagValue
1,metal
2,alternative metal
3,goth rock
4,black metal
5,death metal
6,industrial metal
7,gothic metal
8,terror ebm
9,electro-industrial
10,harsh ebm
11,post black metal
12,aggrotech
13,chillout
14,ambient
15,downtempo
16,new wave
17,synth pop
18,electronic
19,80's
20,lounge
21,trip-hop
22,acid jazz
23,new age
24,pop
25,80s
26,atmospheric
27,ethereal
28,deutsch
29,schlager
30,german
31,hi-nrg
32,avant-garde
33,experimental
34,minimal
35,cyberpunk
36,club house
37,groove
38,cafe del mar
39,dance
40,gregorian chant
41,female vovalists
42,synth-pop
43,classic 80s
44,glitch
45,u-cover
46,melancholy
47,idm
48,vu-us
49,female vocalist
50,modern classical
51,clicks and cuts
52,databloem
53,field recording
54,october man recordings
55,greece
56,melancholic
57,clicks'n'cuts
58,halbischt
59,drone
60,melodramatic popular song minimal
61,industrial
62,trip hop
63,basses frequences
64,mille plateaux
65,folktronica
66,abstract
67,noise
68,glitch hop
69,dub
70,dubstep
71,hiphop
72,hard rock
73,rock
74,synthpop
75,psychedelic rock
76,progressive metal
77,ambient rock
78,alternative rock
79,alternative
80,glam rock
81,indie
82,doom metal
83,jazz
84,indie rock
85,funk
86,ebm
87,post-rock
88,psychedelic
89,symphonic metal
90,trance
91,thrash metal
92,dope
93,israeli
94,winter
95,autumn
96,spring
97,want
98,summer
99,sunshine
100,hip hop under
101,raptuga
102,hip-hop
103,rap
104,chill out
105,house
106,taraxinha
107,kizomba
108,rock and roll
109,pop rock
110,kizomba zouk
111,70 hits
112,underground hip hp
113,hip hop angolano
114,luso hip hop
115,french rap
116,jam
117,kwasa
118,semba
119,angola
120,world music
121,uk
122,old school
123,new york
124,pop dance
125,manguraunderground
126,zouk
127,seen live
128,hit
129,music idol
130,female vocalists
131,girl groups
132,girls
133,deutschsprachig
134,singer-songwriter
135,german artists
136,bundesvision song contest 2006
137,specials to 3mmey
138,hard rock - metal
139,j-rock
140,j-pop
141,visual kei
142,electronic - trance - psytrance
143,classical - pop
144,arabic
145,kpop
146,jaebeom
147,top
148,gd
149,g-dragon
150,2pm
151,wonder girls
152,jyp
153,junsu
154,2am
155,park jaebum
156,park jaebeom
157,jaebum
158,jaywalkers
159,anime
160,noise rock
161,kim jong kook
162,soya
163,niece
